"Financial year","Area name","Measure Name","Value"
"2022/23","NHS Lanarkshire","Total CAMHS Expenditure (£ millions)",11.362
"2022/23","NHS Lanarkshire","Mental Health Expenditure (%)",6.84
"2022/23","NHS Lanarkshire","CAMHS Expenditure (%)",0.75
"2022/23","NHS Lothian","Total Net NHS Expenditure (£ millions)",2390.5
"2022/23","NHS Lothian","Total Mental Health Expenditure (£ millions)",203.1
"2022/23","NHS Lothian","Total CAMHS Expenditure (£ millions)",27.374
"2022/23","NHS Lothian","Mental Health Expenditure (%)",8.5
"2022/23","NHS Lothian","CAMHS Expenditure (%)",1.15
"2022/23","NHS Orkney","Total Net NHS Expenditure (£ millions)",73
"2022/23","NHS Orkney","Total Mental Health Expenditure (£ millions)",1.7
"2022/23","NHS Orkney","Total CAMHS Expenditure (£ millions)",0.376
"2022/23","NHS Orkney","Mental Health Expenditure (%)",2.31
"2022/23","NHS Orkney","CAMHS Expenditure (%)",0.52
"2022/23","NHS Shetland","Total Net NHS Expenditure (£ millions)",75
"2022/23","NHS Shetland","Total Mental Health Expenditure (£ millions)",3.6
"2022/23","NHS Shetland","Total CAMHS Expenditure (£ millions)",0.682
"2022/23","NHS Shetland","Mental Health Expenditure (%)",4.78
"2022/23","NHS Shetland","CAMHS Expenditure (%)",0.91
"2022/23","NHS Tayside","Total Net NHS Expenditure (£ millions)",1231.2
"2022/23","NHS Tayside","Total Mental Health Expenditure (£ millions)",117.8
"2022/23","NHS Tayside","Total CAMHS Expenditure (£ millions)",10.997
"2022/23","NHS Tayside","Mental Health Expenditure (%)",9.57
"2022/23","NHS Tayside","CAMHS Expenditure (%)",0.89
"2022/23","NHS Western Isles","Total Net NHS Expenditure (£ millions)",95.8
"2022/23","NHS Western Isles","Total Mental Health Expenditure (£ millions)",6.2
"2022/23","NHS Western Isles","Total CAMHS Expenditure (£ millions)",0.539
"2022/23","NHS Western Isles","Mental Health Expenditure (%)",6.45
"2022/23","NHS Western Isles","CAMHS Expenditure (%)",0.56
"2022/23","State Hospital","Total Net NHS Expenditure (£ millions)",42.5
"2022/23","State Hospital","Total Mental Health Expenditure (£ millions)",42.5
"2022/23","State Hospital","Total CAMHS Expenditure (£ millions)",0
"2022/23","State Hospital","Mental Health Expenditure (%)",100
"2022/23","State Hospital","CAMHS Expenditure (%)",0
"2022/23","National Waiting Times Centre (Golden Jubilee)","Total Net NHS Expenditure (£ millions)",191.1
"2022/23","National Waiting Times Centre (Golden Jubilee)","Total Mental Health Expenditure (£ millions)",0
"2022/23","National Waiting Times Centre (Golden Jubilee)","Total CAMHS Expenditure (£ millions)",0
"2022/23","National Waiting Times Centre (Golden Jubilee)","Mental Health Expenditure (%)",0
"2022/23","National Waiting Times Centre (Golden Jubilee)","CAMHS Expenditure (%)",0
"2021/22","NHS Scotland","Total Net NHS Expenditure (£ millions)",14797.5
"2021/22","NHS Scotland","Total Mental Health Expenditure (£ millions)",1281.7
"2021/22","NHS Scotland","Total CAMHS Expenditure (£ millions)",97.915
"2021/22","NHS Scotland","Mental Health Expenditure (%)",8.66
"2021/22","NHS Scotland","CAMHS Expenditure (%)",0.66
"2021/22","NHS Ayrshire and Arran","Total Net NHS Expenditure (£ millions)",1023.4
"2021/22","NHS Ayrshire and Arran","Total Mental Health Expenditure (£ millions)",88.6
"2021/22","NHS Ayrshire and Arran","Total CAMHS Expenditure (£ millions)",6.715
"2021/22","NHS Ayrshire and Arran","Mental Health Expenditure (%)",8.66
"2021/22","NHS Ayrshire and Arran","CAMHS Expenditure (%)",0.66
"2021/22","NHS Borders","Total Net NHS Expenditure (£ millions)",268
"2021/22","NHS Borders","Total Mental Health Expenditure (£ millions)",18.8
"2021/22","NHS Borders","Total CAMHS Expenditure (£ millions)",1.51
"2021/22","NHS Borders","Mental Health Expenditure (%)",7.03
"2021/22","NHS Borders","CAMHS Expenditure (%)",0.56
"2021/22","NHS Dumfries and Galloway","Total Net NHS Expenditure (£ millions)",NA
"2021/22","NHS Dumfries and Galloway","Total Mental Health Expenditure (£ millions)",NA
"2021/22","NHS Dumfries and Galloway","Total CAMHS Expenditure (£ millions)",NA
"2021/22","NHS Dumfries and Galloway","Mental Health Expenditure (%)",0
"2021/22","NHS Dumfries and Galloway","CAMHS Expenditure (%)",0
"2021/22","NHS Fife","Total Net NHS Expenditure (£ millions)",843.5
"2021/22","NHS Fife","Total Mental Health Expenditure (£ millions)",66.7
"2021/22","NHS Fife","Total CAMHS Expenditure (£ millions)",3.81
"2021/22","NHS Fife","Mental Health Expenditure (%)",7.9
"2021/22","NHS Fife","CAMHS Expenditure (%)",0.45
"2021/22","NHS Forth Valley","Total Net NHS Expenditure (£ millions)",710.1
"2021/22","NHS Forth Valley","Total Mental Health Expenditure (£ millions)",57.5
"2021/22","NHS Forth Valley","Total CAMHS Expenditure (£ millions)",4.41
"2021/22","NHS Forth Valley","Mental Health Expenditure (%)",8.09
"2021/22","NHS Forth Valley","CAMHS Expenditure (%)",0.62
"2021/22","NHS Grampian","Total Net NHS Expenditure (£ millions)",1405.2
"2021/22","NHS Grampian","Total Mental Health Expenditure (£ millions)",94
"2021/22","NHS Grampian","Total CAMHS Expenditure (£ millions)",8.741
"2021/22","NHS Grampian","Mental Health Expenditure (%)",6.69
"2021/22","NHS Grampian","CAMHS Expenditure (%)",0.62
"2021/22","NHS Greater Glasgow and Clyde","Total Net NHS Expenditure (£ millions)",3884.2
"2021/22","NHS Greater Glasgow and Clyde","Total Mental Health Expenditure (£ millions)",425.4
"2021/22","NHS Greater Glasgow and Clyde","Total CAMHS Expenditure (£ millions)",28.61
"2021/22","NHS Greater Glasgow and Clyde","Mental Health Expenditure (%)",10.95
"2021/22","NHS Greater Glasgow and Clyde","CAMHS Expenditure (%)",0.74
"2021/22","NHS Highland","Total Net NHS Expenditure (£ millions)",879.8
"2021/22","NHS Highland","Total Mental Health Expenditure (£ millions)",65.8
"2021/22","NHS Highland","Total CAMHS Expenditure (£ millions)",3.298
"2021/22","NHS Highland","Mental Health Expenditure (%)",7.48
"2021/22","NHS Highland","CAMHS Expenditure (%)",0.37
"2021/22","NHS Lanarkshire","Total Net NHS Expenditure (£ millions)",1436.9
"2021/22","NHS Lanarkshire","Total Mental Health Expenditure (£ millions)",100.3
"2021/22","NHS Lanarkshire","Total CAMHS Expenditure (£ millions)",7.228
"2021/22","NHS Lanarkshire","Mental Health Expenditure (%)",6.98
"2021/22","NHS Lanarkshire","CAMHS Expenditure (%)",0.5
"2021/22","NHS Lothian","Total Net NHS Expenditure (£ millions)",2313.5
"2021/22","NHS Lothian","Total Mental Health Expenditure (£ millions)",174
"2021/22","NHS Lothian","Total CAMHS Expenditure (£ millions)",20.723
"2021/22","NHS Lothian","Mental Health Expenditure (%)",7.52
"2021/22","NHS Lothian","CAMHS Expenditure (%)",0.9
"2021/22","NHS Orkney","Total Net NHS Expenditure (£ millions)",76.6
"2021/22","NHS Orkney","Total Mental Health Expenditure (£ millions)",1.5
"2021/22","NHS Orkney","Total CAMHS Expenditure (£ millions)",0.251
"2021/22","NHS Orkney","Mental Health Expenditure (%)",1.95
"2021/22","NHS Orkney","CAMHS Expenditure (%)",0.33
"2021/22","NHS Shetland","Total Net NHS Expenditure (£ millions)",73.1
"2021/22","NHS Shetland","Total Mental Health Expenditure (£ millions)",3.3
"2021/22","NHS Shetland","Total CAMHS Expenditure (£ millions)",0.567
"2021/22","NHS Shetland","Mental Health Expenditure (%)",4.5
"2021/22","NHS Shetland","CAMHS Expenditure (%)",0.77
"2021/22","NHS Tayside","Total Net NHS Expenditure (£ millions)",1152.5
"2021/22","NHS Tayside","Total Mental Health Expenditure (£ millions)",111.2
"2021/22","NHS Tayside","Total CAMHS Expenditure (£ millions)",9.316
"2021/22","NHS Tayside","Mental Health Expenditure (%)",9.65
"2021/22","NHS Tayside","CAMHS Expenditure (%)",0.81
"2021/22","NHS Western Isles","Total Net NHS Expenditure (£ millions)",91.2
"2021/22","NHS Western Isles","Total Mental Health Expenditure (£ millions)",4.5
"2021/22","NHS Western Isles","Total CAMHS Expenditure (£ millions)",0.335
"2021/22","NHS Western Isles","Mental Health Expenditure (%)",4.95
"2021/22","NHS Western Isles","CAMHS Expenditure (%)",0.37
"2021/22","State Hospital","Total Net NHS Expenditure (£ millions)",40.2
"2021/22","State Hospital","Total Mental Health Expenditure (£ millions)",40.2
"2021/22","State Hospital","Total CAMHS Expenditure (£ millions)",0
"2021/22","State Hospital","Mental Health Expenditure (%)",100
"2021/22","State Hospital","CAMHS Expenditure (%)",0
"2021/22","National Waiting Times Centre (Golden Jubilee)","Total Net NHS Expenditure (£ millions)",177
"2021/22","National Waiting Times Centre (Golden Jubilee)","Total Mental Health Expenditure (£ millions)",0
"2021/22","National Waiting Times Centre (Golden Jubilee)","Total CAMHS Expenditure (£ millions)",0
"2021/22","National Waiting Times Centre (Golden Jubilee)","Mental Health Expenditure (%)",0
"2021/22","National Waiting Times Centre (Golden Jubilee)","CAMHS Expenditure (%)",0
"2020/21","NHS Scotland","Total Net NHS Expenditure (£ millions)",14239
"2020/21","NHS Scotland","Total Mental Health Expenditure (£ millions)",1229.4
"2020/21","NHS Scotland","Total CAMHS Expenditure (£ millions)",88.254
"2020/21","NHS Scotland","Mental Health Expenditure (%)",8.63
"2020/21","NHS Scotland","CAMHS Expenditure (%)",0.62
"2020/21","NHS Ayrshire and Arran","Total Net NHS Expenditure (£ millions)",971.4
"2020/21","NHS Ayrshire and Arran","Total Mental Health Expenditure (£ millions)",73.7
"2020/21","NHS Ayrshire and Arran","Total CAMHS Expenditure (£ millions)",4.474
"2020/21","NHS Ayrshire and Arran","Mental Health Expenditure (%)",7.59
"2020/21","NHS Ayrshire and Arran","CAMHS Expenditure (%)",0.46
"2020/21","NHS Borders","Total Net NHS Expenditure (£ millions)",252.6
"2020/21","NHS Borders","Total Mental Health Expenditure (£ millions)",18.2
"2020/21","NHS Borders","Total CAMHS Expenditure (£ millions)",1.571
"2020/21","NHS Borders","Mental Health Expenditure (%)",7.2
"2020/21","NHS Borders","CAMHS Expenditure (%)",0.62
"2020/21","NHS Dumfries and Galloway","Total Net NHS Expenditure (£ millions)",415.7
"2020/21","NHS Dumfries and Galloway","Total Mental Health Expenditure (£ millions)",29.4
"2020/21","NHS Dumfries and Galloway","Total CAMHS Expenditure (£ millions)",2.166
"2020/21","NHS Dumfries and Galloway","Mental Health Expenditure (%)",7.08
"2020/21","NHS Dumfries and Galloway","CAMHS Expenditure (%)",0.52
"2020/21","NHS Fife","Total Net NHS Expenditure (£ millions)",826.5
"2020/21","NHS Fife","Total Mental Health Expenditure (£ millions)",64.1
"2020/21","NHS Fife","Total CAMHS Expenditure (£ millions)",3.862
"2020/21","NHS Fife","Mental Health Expenditure (%)",7.76
"2020/21","NHS Fife","CAMHS Expenditure (%)",0.47
"2020/21","NHS Forth Valley","Total Net NHS Expenditure (£ millions)",707.3
"2020/21","NHS Forth Valley","Total Mental Health Expenditure (£ millions)",57.3
"2020/21","NHS Forth Valley","Total CAMHS Expenditure (£ millions)",3.721
"2020/21","NHS Forth Valley","Mental Health Expenditure (%)",8.1
"2020/21","NHS Forth Valley","CAMHS Expenditure (%)",0.53
"2020/21","NHS Grampian","Total Net NHS Expenditure (£ millions)",1338.1
"2020/21","NHS Grampian","Total Mental Health Expenditure (£ millions)",93.5
"2020/21","NHS Grampian","Total CAMHS Expenditure (£ millions)",7.607
"2020/21","NHS Grampian","Mental Health Expenditure (%)",6.98
"2020/21","NHS Grampian","CAMHS Expenditure (%)",0.57
"2020/21","NHS Greater Glasgow and Clyde","Total Net NHS Expenditure (£ millions)",3785.8
"2020/21","NHS Greater Glasgow and Clyde","Total Mental Health Expenditure (£ millions)",407.9
"2020/21","NHS Greater Glasgow and Clyde","Total CAMHS Expenditure (£ millions)",25.136
"2020/21","NHS Greater Glasgow and Clyde","Mental Health Expenditure (%)",10.77
"2020/21","NHS Greater Glasgow and Clyde","CAMHS Expenditure (%)",0.66
"2020/21","NHS Highland","Total Net NHS Expenditure (£ millions)",830.4
"2020/21","NHS Highland","Total Mental Health Expenditure (£ millions)",66.5
"2020/21","NHS Highland","Total CAMHS Expenditure (£ millions)",3.452
"2020/21","NHS Highland","Mental Health Expenditure (%)",8.01
"2020/21","NHS Highland","CAMHS Expenditure (%)",0.42
"2020/21","NHS Lanarkshire","Total Net NHS Expenditure (£ millions)",1384.3
"2020/21","NHS Lanarkshire","Total Mental Health Expenditure (£ millions)",91
"2020/21","NHS Lanarkshire","Total CAMHS Expenditure (£ millions)",7.945
"2020/21","NHS Lanarkshire","Mental Health Expenditure (%)",6.57
"2020/21","NHS Lanarkshire","CAMHS Expenditure (%)",0.57
"2020/21","NHS Lothian","Total Net NHS Expenditure (£ millions)",2198.4
"2020/21","NHS Lothian","Total Mental Health Expenditure (£ millions)",172.5
"2020/21","NHS Lothian","Total CAMHS Expenditure (£ millions)",18.304
"2020/21","NHS Lothian","Mental Health Expenditure (%)",7.85
"2020/21","NHS Lothian","CAMHS Expenditure (%)",0.83
"2020/21","NHS Orkney","Total Net NHS Expenditure (£ millions)",73.3
"2020/21","NHS Orkney","Total Mental Health Expenditure (£ millions)",2.1
"2020/21","NHS Orkney","Total CAMHS Expenditure (£ millions)",0.477
"2020/21","NHS Orkney","Mental Health Expenditure (%)",2.86
"2020/21","NHS Orkney","CAMHS Expenditure (%)",0.65
"2020/21","NHS Shetland","Total Net NHS Expenditure (£ millions)",67.2
"2020/21","NHS Shetland","Total Mental Health Expenditure (£ millions)",3.1
"2020/21","NHS Shetland","Total CAMHS Expenditure (£ millions)",0.44
"2020/21","NHS Shetland","Mental Health Expenditure (%)",4.64
"2020/21","NHS Shetland","CAMHS Expenditure (%)",0.66
"2020/21","NHS Tayside","Total Net NHS Expenditure (£ millions)",1110.8
"2020/21","NHS Tayside","Total Mental Health Expenditure (£ millions)",106.9
"2020/21","NHS Tayside","Total CAMHS Expenditure (£ millions)",8.862
"2020/21","NHS Tayside","Mental Health Expenditure (%)",9.63
"2020/21","NHS Tayside","CAMHS Expenditure (%)",0.8
"2020/21","NHS Western Isles","Total Net NHS Expenditure (£ millions)",80.5
"2020/21","NHS Western Isles","Total Mental Health Expenditure (£ millions)",3.4
"2020/21","NHS Western Isles","Total CAMHS Expenditure (£ millions)",0.236
"2020/21","NHS Western Isles","Mental Health Expenditure (%)",4.28
"2020/21","NHS Western Isles","CAMHS Expenditure (%)",0.29
"2020/21","State Hospital","Total Net NHS Expenditure (£ millions)",39.6
"2020/21","State Hospital","Total Mental Health Expenditure (£ millions)",39.6
"2020/21","State Hospital","Total CAMHS Expenditure (£ millions)",0
"2020/21","State Hospital","Mental Health Expenditure (%)",100
"2020/21","State Hospital","CAMHS Expenditure (%)",0
"2020/21","National Waiting Times Centre (Golden Jubilee)","Total Net NHS Expenditure (£ millions)",157.1
"2020/21","National Waiting Times Centre (Golden Jubilee)","Total Mental Health Expenditure (£ millions)",0
"2020/21","National Waiting Times Centre (Golden Jubilee)","Total CAMHS Expenditure (£ millions)",0
"2020/21","National Waiting Times Centre (Golden Jubilee)","Mental Health Expenditure (%)",0
"2020/21","National Waiting Times Centre (Golden Jubilee)","CAMHS Expenditure (%)",0
"2019/20","NHS Scotland","Total Net NHS Expenditure (£ millions)",12686.6
"2019/20","NHS Scotland","Total Mental Health Expenditure (£ millions)",1066.9
"2019/20","NHS Scotland","Total CAMHS Expenditure (£ millions)",76.928
"2019/20","NHS Scotland","Mental Health Expenditure (%)",8.41
"2019/20","NHS Scotland","CAMHS Expenditure (%)",0.61
"2019/20","NHS Ayrshire and Arran","Total Net NHS Expenditure (£ millions)",868.9
"2019/20","NHS Ayrshire and Arran","Total Mental Health Expenditure (£ millions)",69.9
"2019/20","NHS Ayrshire and Arran","Total CAMHS Expenditure (£ millions)",4.376
"2019/20","NHS Ayrshire and Arran","Mental Health Expenditure (%)",8.05
"2019/20","NHS Ayrshire and Arran","CAMHS Expenditure (%)",0.5
"2019/20","NHS Borders","Total Net NHS Expenditure (£ millions)",239.3
"2019/20","NHS Borders","Total Mental Health Expenditure (£ millions)",18.2
"2019/20","NHS Borders","Total CAMHS Expenditure (£ millions)",1.11
"2019/20","NHS Borders","Mental Health Expenditure (%)",7.6
"2019/20","NHS Borders","CAMHS Expenditure (%)",0.46
"2019/20","NHS Dumfries and Galloway","Total Net NHS Expenditure (£ millions)",362.2
"2019/20","NHS Dumfries and Galloway","Total Mental Health Expenditure (£ millions)",24.9
"2019/20","NHS Dumfries and Galloway","Total CAMHS Expenditure (£ millions)",1.886
"2019/20","NHS Dumfries and Galloway","Mental Health Expenditure (%)",6.88
"2019/20","NHS Dumfries and Galloway","CAMHS Expenditure (%)",0.52
"2019/20","NHS Fife","Total Net NHS Expenditure (£ millions)",738.7
"2019/20","NHS Fife","Total Mental Health Expenditure (£ millions)",56.5
"2019/20","NHS Fife","Total CAMHS Expenditure (£ millions)",3.221
"2019/20","NHS Fife","Mental Health Expenditure (%)",7.65
"2019/20","NHS Fife","CAMHS Expenditure (%)",0.44
"2019/20","NHS Forth Valley","Total Net NHS Expenditure (£ millions)",613.6
"2019/20","NHS Forth Valley","Total Mental Health Expenditure (£ millions)",51.6
"2019/20","NHS Forth Valley","Total CAMHS Expenditure (£ millions)",3.472
"2019/20","NHS Forth Valley","Mental Health Expenditure (%)",8.41
"2019/20","NHS Forth Valley","CAMHS Expenditure (%)",0.57
"2019/20","NHS Grampian","Total Net NHS Expenditure (£ millions)",1206.7
"2019/20","NHS Grampian","Total Mental Health Expenditure (£ millions)",86.2
"2019/20","NHS Grampian","Total CAMHS Expenditure (£ millions)",6.412
"2019/20","NHS Grampian","Mental Health Expenditure (%)",7.14
"2019/20","NHS Grampian","CAMHS Expenditure (%)",0.53
"2019/20","NHS Greater Glasgow and Clyde","Total Net NHS Expenditure (£ millions)",3291.2
"2019/20","NHS Greater Glasgow and Clyde","Total Mental Health Expenditure (£ millions)",315.2
"2019/20","NHS Greater Glasgow and Clyde","Total CAMHS Expenditure (£ millions)",19.908
"2019/20","NHS Greater Glasgow and Clyde","Mental Health Expenditure (%)",9.58
"2019/20","NHS Greater Glasgow and Clyde","CAMHS Expenditure (%)",0.6
"2019/20","NHS Highland","Total Net NHS Expenditure (£ millions)",724.4
"2019/20","NHS Highland","Total Mental Health Expenditure (£ millions)",57.5
"2019/20","NHS Highland","Total CAMHS Expenditure (£ millions)",2.921
"2019/20","NHS Highland","Mental Health Expenditure (%)",7.94
"2019/20","NHS Highland","CAMHS Expenditure (%)",0.4
"2019/20","NHS Lanarkshire","Total Net NHS Expenditure (£ millions)",1259.6
"2019/20","NHS Lanarkshire","Total Mental Health Expenditure (£ millions)",85.3
"2019/20","NHS Lanarkshire","Total CAMHS Expenditure (£ millions)",7.112
"2019/20","NHS Lanarkshire","Mental Health Expenditure (%)",6.77
"2019/20","NHS Lanarkshire","CAMHS Expenditure (%)",0.56
"2019/20","NHS Lothian","Total Net NHS Expenditure (£ millions)",2005
"2019/20","NHS Lothian","Total Mental Health Expenditure (£ millions)",158.6
"2019/20","NHS Lothian","Total CAMHS Expenditure (£ millions)",17.547
"2019/20","NHS Lothian","Mental Health Expenditure (%)",7.91
"2019/20","NHS Lothian","CAMHS Expenditure (%)",0.88
"2019/20","NHS Orkney","Total Net NHS Expenditure (£ millions)",59.2
"2019/20","NHS Orkney","Total Mental Health Expenditure (£ millions)",1.8
"2019/20","NHS Orkney","Total CAMHS Expenditure (£ millions)",0.079
"2019/20","NHS Orkney","Mental Health Expenditure (%)",3.08
"2019/20","NHS Orkney","CAMHS Expenditure (%)",0.13
"2019/20","NHS Shetland","Total Net NHS Expenditure (£ millions)",56.1
"2019/20","NHS Shetland","Total Mental Health Expenditure (£ millions)",2.3
"2019/20","NHS Shetland","Total CAMHS Expenditure (£ millions)",0.363
"2019/20","NHS Shetland","Mental Health Expenditure (%)",4.16
"2019/20","NHS Shetland","CAMHS Expenditure (%)",0.65
"2019/20","NHS Tayside","Total Net NHS Expenditure (£ millions)",1002.8
"2019/20","NHS Tayside","Total Mental Health Expenditure (£ millions)",97
"2019/20","NHS Tayside","Total CAMHS Expenditure (£ millions)",7.984
"2019/20","NHS Tayside","Mental Health Expenditure (%)",9.68
"2019/20","NHS Tayside","CAMHS Expenditure (%)",0.8
"2019/20","NHS Western Isles","Total Net NHS Expenditure (£ millions)",79.5
"2019/20","NHS Western Isles","Total Mental Health Expenditure (£ millions)",4.1
"2019/20","NHS Western Isles","Total CAMHS Expenditure (£ millions)",0.538
"2019/20","NHS Western Isles","Mental Health Expenditure (%)",5.19
"2019/20","NHS Western Isles","CAMHS Expenditure (%)",0.68
"2019/20","State Hospital","Total Net NHS Expenditure (£ millions)",37.7
"2019/20","State Hospital","Total Mental Health Expenditure (£ millions)",37.7
"2019/20","State Hospital","Total CAMHS Expenditure (£ millions)",0
"2019/20","State Hospital","Mental Health Expenditure (%)",100
"2019/20","State Hospital","CAMHS Expenditure (%)",0
"2019/20","National Waiting Times Centre (Golden Jubilee)","Total Net NHS Expenditure (£ millions)",141.8
"2019/20","National Waiting Times Centre (Golden Jubilee)","Total Mental Health Expenditure (£ millions)",0
"2019/20","National Waiting Times Centre (Golden Jubilee)","Total CAMHS Expenditure (£ millions)",0
"2019/20","National Waiting Times Centre (Golden Jubilee)","Mental Health Expenditure (%)",0
"2019/20","National Waiting Times Centre (Golden Jubilee)","CAMHS Expenditure (%)",0
"2018/19","NHS Scotland","Total Net NHS Expenditure (£ millions)",11909.6
"2018/19","NHS Scotland","Total Mental Health Expenditure (£ millions)",1006.2
"2018/19","NHS Scotland","Total CAMHS Expenditure (£ millions)",67.248
"2018/19","NHS Scotland","Mental Health Expenditure (%)",8.45
"2018/19","NHS Scotland","CAMHS Expenditure (%)",0.56
"2018/19","NHS Ayrshire and Arran","Total Net NHS Expenditure (£ millions)",815.9
"2018/19","NHS Ayrshire and Arran","Total Mental Health Expenditure (£ millions)",66
"2018/19","NHS Ayrshire and Arran","Total CAMHS Expenditure (£ millions)",3.734
"2018/19","NHS Ayrshire and Arran","Mental Health Expenditure (%)",8.09
"2018/19","NHS Ayrshire and Arran","CAMHS Expenditure (%)",0.46
"2018/19","NHS Borders","Total Net NHS Expenditure (£ millions)",228.5
"2018/19","NHS Borders","Total Mental Health Expenditure (£ millions)",20
"2018/19","NHS Borders","Total CAMHS Expenditure (£ millions)",1.066
"2018/19","NHS Borders","Mental Health Expenditure (%)",8.74
"2018/19","NHS Borders","CAMHS Expenditure (%)",0.47
"2018/19","NHS Dumfries and Galloway","Total Net NHS Expenditure (£ millions)",340.3
"2018/19","NHS Dumfries and Galloway","Total Mental Health Expenditure (£ millions)",22.7
"2018/19","NHS Dumfries and Galloway","Total CAMHS Expenditure (£ millions)",1.734
"2018/19","NHS Dumfries and Galloway","Mental Health Expenditure (%)",6.66
"2018/19","NHS Dumfries and Galloway","CAMHS Expenditure (%)",0.51
"2018/19","NHS Fife","Total Net NHS Expenditure (£ millions)",688.5
"2018/19","NHS Fife","Total Mental Health Expenditure (£ millions)",53.2
"2018/19","NHS Fife","Total CAMHS Expenditure (£ millions)",3.212
"2018/19","NHS Fife","Mental Health Expenditure (%)",7.73
"2018/19","NHS Fife","CAMHS Expenditure (%)",0.47
"2018/19","NHS Forth Valley","Total Net NHS Expenditure (£ millions)",576.8
"2018/19","NHS Forth Valley","Total Mental Health Expenditure (£ millions)",49.1
"2018/19","NHS Forth Valley","Total CAMHS Expenditure (£ millions)",3.32
"2018/19","NHS Forth Valley","Mental Health Expenditure (%)",8.5
"2018/19","NHS Forth Valley","CAMHS Expenditure (%)",0.58
"2018/19","NHS Grampian","Total Net NHS Expenditure (£ millions)",1126.4
"2018/19","NHS Grampian","Total Mental Health Expenditure (£ millions)",79.1
"2018/19","NHS Grampian","Total CAMHS Expenditure (£ millions)",5.837
"2018/19","NHS Grampian","Mental Health Expenditure (%)",7.02
"2018/19","NHS Grampian","CAMHS Expenditure (%)",0.52
"2018/19","NHS Greater Glasgow and Clyde","Total Net NHS Expenditure (£ millions)",3127
"2018/19","NHS Greater Glasgow and Clyde","Total Mental Health Expenditure (£ millions)",298.9
