year,geography1,geography2,diagnosis_groupings,measure,dataset,value,covid_period
2018,Health board of treatment,NHS Borders,Mental & behavioural disorders due to psychoactive substance use,Number of discharges,Psychiatric,45,Pre-COVID
2018,Health board of treatment,NHS Borders,Mental & behavioural disorders due to psychoactive substance use,"Crude rate of discharges (per 100,000 population)",Psychiatric,38.74,Pre-COVID
2018,Health board of treatment,NHS Borders,Mood (affective) disorders,Number of discharges,Total,85,Pre-COVID
2018,Health board of treatment,NHS Borders,Mood (affective) disorders,"Crude rate of discharges (per 100,000 population)",Total,73.17,Pre-COVID
2018,Health board of treatment,NHS Borders,Mood (affective) disorders,Number of discharges,Non-psychiatric,0,Pre-COVID
2018,Health board of treatment,NHS Borders,Mood (affective) disorders,"Crude rate of discharges (per 100,000 population)",Non-psychiatric,0,Pre-COVID
2018,Health board of treatment,NHS Borders,Mood (affective) disorders,Number of discharges,Psychiatric,80,Pre-COVID
2018,Health board of treatment,NHS Borders,Mood (affective) disorders,"Crude rate of discharges (per 100,000 population)",Psychiatric,68.87,Pre-COVID
2018,Health board of treatment,NHS Borders,"Neurotic, stress-related, & somatoform disorders",Number of discharges,Total,55,Pre-COVID
2018,Health board of treatment,NHS Borders,"Neurotic, stress-related, & somatoform disorders","Crude rate of discharges (per 100,000 population)",Total,47.35,Pre-COVID
2018,Health board of treatment,NHS Borders,"Neurotic, stress-related, & somatoform disorders",Number of discharges,Non-psychiatric,10,Pre-COVID
2018,Health board of treatment,NHS Borders,"Neurotic, stress-related, & somatoform disorders","Crude rate of discharges (per 100,000 population)",Non-psychiatric,8.61,Pre-COVID
2018,Health board of treatment,NHS Borders,"Neurotic, stress-related, & somatoform disorders",Number of discharges,Psychiatric,45,Pre-COVID
2018,Health board of treatment,NHS Borders,"Neurotic, stress-related, & somatoform disorders","Crude rate of discharges (per 100,000 population)",Psychiatric,38.74,Pre-COVID
2018,Health board of treatment,NHS Borders,"Organic, including symptomatic, mental disorders",Number of discharges,Total,295,Pre-COVID
2018,Health board of treatment,NHS Borders,"Organic, including symptomatic, mental disorders","Crude rate of discharges (per 100,000 population)",Total,253.96,Pre-COVID
2018,Health board of treatment,NHS Borders,"Organic, including symptomatic, mental disorders",Number of discharges,Non-psychiatric,250,Pre-COVID
2018,Health board of treatment,NHS Borders,"Organic, including symptomatic, mental disorders","Crude rate of discharges (per 100,000 population)",Non-psychiatric,215.22,Pre-COVID
2018,Health board of treatment,NHS Borders,"Organic, including symptomatic, mental disorders",Number of discharges,Psychiatric,45,Pre-COVID
2018,Health board of treatment,NHS Borders,"Organic, including symptomatic, mental disorders","Crude rate of discharges (per 100,000 population)",Psychiatric,38.74,Pre-COVID
2018,Health board of treatment,NHS Borders,Other selected diagnoses principally affecting children & young people,Number of discharges,Total,25,Pre-COVID
2018,Health board of treatment,NHS Borders,Other selected diagnoses principally affecting children & young people,"Crude rate of discharges (per 100,000 population)",Total,21.52,Pre-COVID
2018,Health board of treatment,NHS Borders,Other selected diagnoses principally affecting children & young people,Number of discharges,Non-psychiatric,20,Pre-COVID
2018,Health board of treatment,NHS Borders,Other selected diagnoses principally affecting children & young people,"Crude rate of discharges (per 100,000 population)",Non-psychiatric,17.22,Pre-COVID
2018,Health board of treatment,NHS Borders,Other selected diagnoses principally affecting children & young people,Number of discharges,Psychiatric,10,Pre-COVID
2018,Health board of treatment,NHS Borders,Other selected diagnoses principally affecting children & young people,"Crude rate of discharges (per 100,000 population)",Psychiatric,8.61,Pre-COVID
2018,Health board of treatment,NHS Borders,"Schizophrenia, schizotypal and delusional disorders",Number of discharges,Total,110,Pre-COVID
2018,Health board of treatment,NHS Borders,"Schizophrenia, schizotypal and delusional disorders","Crude rate of discharges (per 100,000 population)",Total,94.7,Pre-COVID
2018,Health board of treatment,NHS Borders,"Schizophrenia, schizotypal and delusional disorders",Number of discharges,Non-psychiatric,0,Pre-COVID
2018,Health board of treatment,NHS Borders,"Schizophrenia, schizotypal and delusional disorders","Crude rate of discharges (per 100,000 population)",Non-psychiatric,0,Pre-COVID
2018,Health board of treatment,NHS Borders,"Schizophrenia, schizotypal and delusional disorders",Number of discharges,Psychiatric,110,Pre-COVID
2018,Health board of treatment,NHS Borders,"Schizophrenia, schizotypal and delusional disorders","Crude rate of discharges (per 100,000 population)",Psychiatric,94.7,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Disorders of adult personality and behaviour,Number of discharges,Total,145,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Disorders of adult personality and behaviour,"Crude rate of discharges (per 100,000 population)",Total,98.63,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Disorders of adult personality and behaviour,Number of discharges,Non-psychiatric,20,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Disorders of adult personality and behaviour,"Crude rate of discharges (per 100,000 population)",Non-psychiatric,13.6,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Disorders of adult personality and behaviour,Number of discharges,Psychiatric,125,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Disorders of adult personality and behaviour,"Crude rate of discharges (per 100,000 population)",Psychiatric,85.03,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Mental & behavioural disorders due to psychoactive substance use,Number of discharges,Total,305,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Mental & behavioural disorders due to psychoactive substance use,"Crude rate of discharges (per 100,000 population)",Total,207.47,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Mental & behavioural disorders due to psychoactive substance use,Number of discharges,Non-psychiatric,225,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Mental & behavioural disorders due to psychoactive substance use,"Crude rate of discharges (per 100,000 population)",Non-psychiatric,153.05,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Mental & behavioural disorders due to psychoactive substance use,Number of discharges,Psychiatric,75,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Mental & behavioural disorders due to psychoactive substance use,"Crude rate of discharges (per 100,000 population)",Psychiatric,51.02,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Mood (affective) disorders,Number of discharges,Total,620,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Mood (affective) disorders,"Crude rate of discharges (per 100,000 population)",Total,421.74,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Mood (affective) disorders,Number of discharges,Non-psychiatric,215,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Mood (affective) disorders,"Crude rate of discharges (per 100,000 population)",Non-psychiatric,146.25,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Mood (affective) disorders,Number of discharges,Psychiatric,405,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Mood (affective) disorders,"Crude rate of discharges (per 100,000 population)",Psychiatric,275.49,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,"Neurotic, stress-related, & somatoform disorders",Number of discharges,Total,65,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,"Neurotic, stress-related, & somatoform disorders","Crude rate of discharges (per 100,000 population)",Total,44.21,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,"Neurotic, stress-related, & somatoform disorders",Number of discharges,Non-psychiatric,15,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,"Neurotic, stress-related, & somatoform disorders","Crude rate of discharges (per 100,000 population)",Non-psychiatric,10.2,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,"Neurotic, stress-related, & somatoform disorders",Number of discharges,Psychiatric,50,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,"Neurotic, stress-related, & somatoform disorders","Crude rate of discharges (per 100,000 population)",Psychiatric,34.01,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,"Organic, including symptomatic, mental disorders",Number of discharges,Total,270,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,"Organic, including symptomatic, mental disorders","Crude rate of discharges (per 100,000 population)",Total,183.66,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,"Organic, including symptomatic, mental disorders",Number of discharges,Non-psychiatric,145,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,"Organic, including symptomatic, mental disorders","Crude rate of discharges (per 100,000 population)",Non-psychiatric,98.63,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,"Organic, including symptomatic, mental disorders",Number of discharges,Psychiatric,120,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,"Organic, including symptomatic, mental disorders","Crude rate of discharges (per 100,000 population)",Psychiatric,81.63,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Other selected diagnoses principally affecting children & young people,Number of discharges,Total,55,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Other selected diagnoses principally affecting children & young people,"Crude rate of discharges (per 100,000 population)",Total,37.41,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Other selected diagnoses principally affecting children & young people,Number of discharges,Non-psychiatric,30,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Other selected diagnoses principally affecting children & young people,"Crude rate of discharges (per 100,000 population)",Non-psychiatric,20.41,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Other selected diagnoses principally affecting children & young people,Number of discharges,Psychiatric,25,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,Other selected diagnoses principally affecting children & young people,"Crude rate of discharges (per 100,000 population)",Psychiatric,17.01,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,"Schizophrenia, schizotypal and delusional disorders",Number of discharges,Total,230,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,"Schizophrenia, schizotypal and delusional disorders","Crude rate of discharges (per 100,000 population)",Total,156.45,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,"Schizophrenia, schizotypal and delusional disorders",Number of discharges,Non-psychiatric,35,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,"Schizophrenia, schizotypal and delusional disorders","Crude rate of discharges (per 100,000 population)",Non-psychiatric,23.81,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,"Schizophrenia, schizotypal and delusional disorders",Number of discharges,Psychiatric,195,Pre-COVID
2018,Health board of treatment,NHS Dumfries & Galloway,"Schizophrenia, schizotypal and delusional disorders","Crude rate of discharges (per 100,000 population)",Psychiatric,132.64,Pre-COVID
2018,Health board of treatment,NHS Fife,Disorders of adult personality and behaviour,Number of discharges,Total,245,Pre-COVID
2018,Health board of treatment,NHS Fife,Disorders of adult personality and behaviour,"Crude rate of discharges (per 100,000 population)",Total,66.35,Pre-COVID
2018,Health board of treatment,NHS Fife,Disorders of adult personality and behaviour,Number of discharges,Non-psychiatric,0,Pre-COVID
2018,Health board of treatment,NHS Fife,Disorders of adult personality and behaviour,"Crude rate of discharges (per 100,000 population)",Non-psychiatric,0,Pre-COVID
2018,Health board of treatment,NHS Fife,Disorders of adult personality and behaviour,Number of discharges,Psychiatric,245,Pre-COVID
2018,Health board of treatment,NHS Fife,Disorders of adult personality and behaviour,"Crude rate of discharges (per 100,000 population)",Psychiatric,66.35,Pre-COVID
2018,Health board of treatment,NHS Fife,Mental & behavioural disorders due to psychoactive substance use,Number of discharges,Total,755,Pre-COVID
2018,Health board of treatment,NHS Fife,Mental & behavioural disorders due to psychoactive substance use,"Crude rate of discharges (per 100,000 population)",Total,204.47,Pre-COVID
2018,Health board of treatment,NHS Fife,Mental & behavioural disorders due to psychoactive substance use,Number of discharges,Non-psychiatric,645,Pre-COVID
2018,Health board of treatment,NHS Fife,Mental & behavioural disorders due to psychoactive substance use,"Crude rate of discharges (per 100,000 population)",Non-psychiatric,174.68,Pre-COVID
2018,Health board of treatment,NHS Fife,Mental & behavioural disorders due to psychoactive substance use,Number of discharges,Psychiatric,115,Pre-COVID
2018,Health board of treatment,NHS Fife,Mental & behavioural disorders due to psychoactive substance use,"Crude rate of discharges (per 100,000 population)",Psychiatric,31.14,Pre-COVID
2018,Health board of treatment,NHS Fife,Mood (affective) disorders,Number of discharges,Total,420,Pre-COVID
2018,Health board of treatment,NHS Fife,Mood (affective) disorders,"Crude rate of discharges (per 100,000 population)",Total,113.74,Pre-COVID
2018,Health board of treatment,NHS Fife,Mood (affective) disorders,Number of discharges,Non-psychiatric,25,Pre-COVID
2018,Health board of treatment,NHS Fife,Mood (affective) disorders,"Crude rate of discharges (per 100,000 population)",Non-psychiatric,6.77,Pre-COVID
2018,Health board of treatment,NHS Fife,Mood (affective) disorders,Number of discharges,Psychiatric,395,Pre-COVID
2018,Health board of treatment,NHS Fife,Mood (affective) disorders,"Crude rate of discharges (per 100,000 population)",Psychiatric,106.97,Pre-COVID
2018,Health board of treatment,NHS Fife,"Neurotic, stress-related, & somatoform disorders",Number of discharges,Total,185,Pre-COVID
2018,Health board of treatment,NHS Fife,"Neurotic, stress-related, & somatoform disorders","Crude rate of discharges (per 100,000 population)",Total,50.1,Pre-COVID
2018,Health board of treatment,NHS Fife,"Neurotic, stress-related, & somatoform disorders",Number of discharges,Non-psychiatric,85,Pre-COVID
2018,Health board of treatment,NHS Fife,"Neurotic, stress-related, & somatoform disorders","Crude rate of discharges (per 100,000 population)",Non-psychiatric,23.02,Pre-COVID
2018,Health board of treatment,NHS Fife,"Neurotic, stress-related, & somatoform disorders",Number of discharges,Psychiatric,100,Pre-COVID
2018,Health board of treatment,NHS Fife,"Neurotic, stress-related, & somatoform disorders","Crude rate of discharges (per 100,000 population)",Psychiatric,27.08,Pre-COVID
2018,Health board of treatment,NHS Fife,"Organic, including symptomatic, mental disorders",Number of discharges,Total,1525,Pre-COVID
2018,Health board of treatment,NHS Fife,"Organic, including symptomatic, mental disorders","Crude rate of discharges (per 100,000 population)",Total,413,Pre-COVID
2018,Health board of treatment,NHS Fife,"Organic, including symptomatic, mental disorders",Number of discharges,Non-psychiatric,1275,Pre-COVID
2018,Health board of treatment,NHS Fife,"Organic, including symptomatic, mental disorders","Crude rate of discharges (per 100,000 population)",Non-psychiatric,345.29,Pre-COVID
2018,Health board of treatment,NHS Fife,"Organic, including symptomatic, mental disorders",Number of discharges,Psychiatric,250,Pre-COVID
2018,Health board of treatment,NHS Fife,"Organic, including symptomatic, mental disorders","Crude rate of discharges (per 100,000 population)",Psychiatric,67.7,Pre-COVID
2018,Health board of treatment,NHS Fife,Other selected diagnoses principally affecting children & young people,Number of discharges,Total,35,Pre-COVID
2018,Health board of treatment,NHS Fife,Other selected diagnoses principally affecting children & young people,"Crude rate of discharges (per 100,000 population)",Total,9.48,Pre-COVID
2018,Health board of treatment,NHS Fife,Other selected diagnoses principally affecting children & young people,Number of discharges,Non-psychiatric,20,Pre-COVID
2018,Health board of treatment,NHS Fife,Other selected diagnoses principally affecting children & young people,"Crude rate of discharges (per 100,000 population)",Non-psychiatric,5.42,Pre-COVID
2018,Health board of treatment,NHS Fife,Other selected diagnoses principally affecting children & young people,Number of discharges,Psychiatric,20,Pre-COVID
2018,Health board of treatment,NHS Fife,Other selected diagnoses principally affecting children & young people,"Crude rate of discharges (per 100,000 population)",Psychiatric,5.42,Pre-COVID
2018,Health board of treatment,NHS Fife,"Schizophrenia, schizotypal and delusional disorders",Number of discharges,Total,400,Pre-COVID
2018,Health board of treatment,NHS Fife,"Schizophrenia, schizotypal and delusional disorders","Crude rate of discharges (per 100,000 population)",Total,108.33,Pre-COVID
2018,Health board of treatment,NHS Fife,"Schizophrenia, schizotypal and delusional disorders",Number of discharges,Non-psychiatric,15,Pre-COVID
2018,Health board of treatment,NHS Fife,"Schizophrenia, schizotypal and delusional disorders","Crude rate of discharges (per 100,000 population)",Non-psychiatric,4.06,Pre-COVID
2018,Health board of treatment,NHS Fife,"Schizophrenia, schizotypal and delusional disorders",Number of discharges,Psychiatric,385,Pre-COVID
2018,Health board of treatment,NHS Fife,"Schizophrenia, schizotypal and delusional disorders","Crude rate of discharges (per 100,000 population)",Psychiatric,104.27,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,Disorders of adult personality and behaviour,Number of discharges,Total,165,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,Disorders of adult personality and behaviour,"Crude rate of discharges (per 100,000 population)",Total,54.51,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,Disorders of adult personality and behaviour,Number of discharges,Non-psychiatric,0,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,Disorders of adult personality and behaviour,"Crude rate of discharges (per 100,000 population)",Non-psychiatric,0,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,Disorders of adult personality and behaviour,Number of discharges,Psychiatric,165,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,Disorders of adult personality and behaviour,"Crude rate of discharges (per 100,000 population)",Psychiatric,54.51,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,Mental & behavioural disorders due to psychoactive substance use,Number of discharges,Total,715,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,Mental & behavioural disorders due to psychoactive substance use,"Crude rate of discharges (per 100,000 population)",Total,236.23,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,Mental & behavioural disorders due to psychoactive substance use,Number of discharges,Non-psychiatric,510,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,Mental & behavioural disorders due to psychoactive substance use,"Crude rate of discharges (per 100,000 population)",Non-psychiatric,168.5,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,Mental & behavioural disorders due to psychoactive substance use,Number of discharges,Psychiatric,200,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,Mental & behavioural disorders due to psychoactive substance use,"Crude rate of discharges (per 100,000 population)",Psychiatric,66.08,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,Mood (affective) disorders,Number of discharges,Total,225,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,Mood (affective) disorders,"Crude rate of discharges (per 100,000 population)",Total,74.34,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,Mood (affective) disorders,Number of discharges,Non-psychiatric,20,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,Mood (affective) disorders,"Crude rate of discharges (per 100,000 population)",Non-psychiatric,6.61,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,Mood (affective) disorders,Number of discharges,Psychiatric,205,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,Mood (affective) disorders,"Crude rate of discharges (per 100,000 population)",Psychiatric,67.73,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,"Neurotic, stress-related, & somatoform disorders",Number of discharges,Total,130,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,"Neurotic, stress-related, & somatoform disorders","Crude rate of discharges (per 100,000 population)",Total,42.95,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,"Neurotic, stress-related, & somatoform disorders",Number of discharges,Non-psychiatric,40,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,"Neurotic, stress-related, & somatoform disorders","Crude rate of discharges (per 100,000 population)",Non-psychiatric,13.22,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,"Neurotic, stress-related, & somatoform disorders",Number of discharges,Psychiatric,90,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,"Neurotic, stress-related, & somatoform disorders","Crude rate of discharges (per 100,000 population)",Psychiatric,29.74,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,"Organic, including symptomatic, mental disorders",Number of discharges,Total,485,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,"Organic, including symptomatic, mental disorders","Crude rate of discharges (per 100,000 population)",Total,160.24,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,"Organic, including symptomatic, mental disorders",Number of discharges,Non-psychiatric,290,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,"Organic, including symptomatic, mental disorders","Crude rate of discharges (per 100,000 population)",Non-psychiatric,95.81,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,"Organic, including symptomatic, mental disorders",Number of discharges,Psychiatric,195,Pre-COVID
2018,Health board of treatment,NHS Forth Valley,"Organic, including symptomatic, mental disorders","Crude rate of discharges (per 100,000 population)",Psychiatric,64.43,Pre-COVID
